	X	Y	Celltype	Sender_cells	Sender_cells_PI
0	1097.6270078546495	1430.378732744839	Others		
1	1205.5267521432877	1089.7663659937937	Receivers	2643,3877	
2	847.3095986778094	1291.7882261333123	Others		
3	875.174422525385	1783.5460015641595	Receivers		
4	1927.3255210020586	766.8830376515554	Others		
5	1583.4500761653292	1057.789839505809	Others		
6	1136.0891221878646	1851.193276585322	Others		
7	142.0721163957739	174.2585994030814	Others		
8	40.43679488065144	1665.239691095876	Others		
9	1556.313501899701	1740.0242964936383	Receivers	375,2113,3042,3405,3784,6255,6621,7415,7590	3405,7415
10	1957.236684465528	1598.3171284334471	Receivers	135,3353,6638,7240,7318	
11	922.9587245058636	1561.058352572911	Receivers		
12	236.54885173786644	1279.8420426550476	Others		
13	286.7065748180928	1889.3378340991678	Others		
14	1043.6966435001434	829.3238799810472	Senders		
15	529.1112242092539	1548.4673788684333	Senders		
16	912.3006644330972	1136.867897737297	Others		
17	37.57960087271029	1235.2709941517542	Others		
18	1224.1914454448429	1233.8679937495137	Receivers		
19	1887.4961570292483	1363.6405982069668	Receivers	2362,5737,6973,7862	
20	719.015801147572	874.0639075986829	Receivers	1542,3359,3508,3511,4278,4408,5345,6972	3511
21	1395.2623918545298	120.45094325853967	Receivers		
22	1333.5334308913355	1341.2757392363187	Others		
23	420.7651221476818	257.8525953097066	Others		
24	630.8567018483677	727.4215418852452	Senders		
25	1140.3935408357593	877.2030269246407	Senders		
26	1976.7476761184523	204.08962149605614	Senders		
27	417.7535121896694	322.61903576999254	Others		
28	1306.216650930797	506.5832050795642	Receivers	64,545,571,1273,2509,3818,5891	1273
29	932.6215457126126	488.8511840032055	Receivers		
30	317.93916729103944	220.75028232861027	Others		
31	1312.659178930547	276.3659026972276	Others		
32	393.164723360107	737.4503413219282	Receivers	1959,4206,5919	5919
33	1641.9864596958703	194.20255158612255	Senders		
34	1675.8898149976078	192.19681578792614	Senders		
35	1952.9189300267915	937.3024032954031	Others		
36	1953.5221763806742	1209.691039490092	Receivers		
37	1478.5271587966033	78.37558450864135	Receivers		
38	565.6139251528192	240.3931224263378	Others		
39	592.2803950442899	237.4554379084881	Others		
40	635.966358787952	828.5259890293399	Senders		
41	128.29499269756872	1384.9442387400397	Others		
42	1133.2029084131502	530.7789818788908	Receivers	165,212,838,998,1278,1403,2678,4007,4397,5453,5620,6733	165,212,1278,1403,2678,5453
43	1046.4961069333992	187.88102151688335	Others		
44	1151.8929911123585	1858.592395152428	Others		
45	637.1379049026473	1334.8207599273633	Receivers		
46	263.5957248087843	1432.654408237131	Receivers		
47	578.8121858944022	366.38272401423364	Others		
48	1173.0258696201663	40.21509237498711	Others		
49	1657.8800584347262	9.390952385094131	Receivers	787,3642,6395	
50	1355.6330735924603	540.0159463843297	Receivers	64,571,2509,2959,3049,3166,5670,5791,6645	571,3049
51	1470.3880442451898	1924.3770902348765	Others		
52	497.50628703991606	1152.3146688356737	Others		
53	1184.083862543678	1144.5038115817467	Receivers		
54	446.16326528123665	1905.49802303397	Receivers		
55	894.2507572352547	1692.8173449422557	Receivers		
56	1398.9585506350086	594.8739017102673	Receivers	181,571,2497,2959,3049,3166,4573,4743,5206,5670,5791,6184,6645,6745,7000,7155	3166,4573,4743,5206,5670,7000
57	1627.5956394049545	793.0114816939692	Receivers		
58	1762.206394222323	1162.5457452717174	Receivers		
59	1763.4707237097057	1385.0631801555317	Senders		
60	1450.508559639281	1002.6487638534045	Receivers	3315	
61	1912.1672694464478	1287.9803984592747	Receivers		
62	847.7100971163594	1212.7864282558487	Others		
63	38.38639661866705	603.1496333490986	Others		
64	1320.34707498537	580.1552144208881	Senders		
65	1236.0308579976831	857.5374018915322	Senders		
66	270.9481284449005	596.5646519120615	Receivers		
67	1139.9298214025298	1181.7455224963464	Receivers		
68	1148.6504976991575	1306.4016397142673	Others		
69	1304.2065400033778	862.8368708679479	Senders		
70	1793.093191702126	735.1237400957931	Receivers		
71	1612.3879780921716	1407.7771670807326	Senders		
72	200.45377462460223	1838.9652274893472	Others		
73	1428.4825990982229	1997.694013135733	Others		
74	298.8966093159875	1736.2521147364284	Receivers		
75	324.98586935274966	1231.1191285676884	Others		
76	247.63996569888303	1696.016458644469	Receivers		
77	1614.6379174500214	1138.2014772291866	Others		
78	814.3665944519993	138.3339909102761	Others		
79	1394.8575462891272	907.0853653561377	Senders		
80	1444.1111989406959	1732.7646518572583	Receivers		
81	1951.0430100057715	1711.6066847852221	Receivers		
82	23.428168370003945	719.9561289567278	Others		
83	1459.981124848116	343.25935452288104	Receivers	6350	
84	1042.0732124082585	108.67597667850725	Others		
85	399.99304979280015	37.04358892122794	Others		
86	1587.3954067148413	447.84937612076027	Senders		
